id,code,date,customer,qty_input,qty_output,output_per_hour,lot_number,screw_config,machine_no,feed_rate,rpm,screen,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,resin_used,remarks
4216,GA16127E,6-Oct-23,PHIL-TOP,,252.83,77.79,5817AJ-5822AJ,STD,8,20,380,40/40,170,170,170,170,170,160,160,160,160,150,150,150,,,LDPE(HMI)
4217,WA12282E,6-Oct-23,PACKAGE WORLD,,6871,26,5509AJ-5536AJ,STD,1,22,150,60/60,140,170,170,170,160,160,150,150,150,150,,,,,RUBBER
4218,BA16168E,6-Oct-23,PREMIER,,106.71,70,5877AJ-5879AJ,STD,3,30,40,40/40,150,150,150,150,150,130,130,,,,,,,,LDPE HMI
4219,YA5124E,10-Oct-23,EVERGOOD,,247.1,70.6,5997AJ-6001AJ,STD,8,13,380,40/40,180,180,170,170,170,170,160,160,160,160,150,150,,,LDPE(HMI)
4220,DA5176E,7-Oct-23,Evergood(corr),,74.05,85.44,6011AJ-6012AJ,STD,8,10,300,40/40,170,170,170,170,160,160,160,160,160,160,150,150,,,LDPE(HMI)
4221,KA6414E,7-Oct-23,ZELLER,,55.63,47.68,5990AJ-5991AJ,STD,8,150,300,40/40,180,200,180,180,180,180,180,180,180,180,180,,,,PP
4222,YA14414E,7-Oct-23,BEVPACK,,97.57,58.54,5853AJ-5856AJ,STD,8,10,350,40/40,200,200,200,180,180,180,180,180,180,180,200,200,,,PP
4223,YA14414E,7-Oct-23,BEVPACK,,517.95,69.84,5857AJ-5876AJ,STD,8,10,350,40/40,200,200,200,180,180,180,180,180,180,180,200,200,,,PP
4224,IA9912E,7-Oct-23,Evergood,,256.92,77.08,5802AJ-5807AJ,STD,8,12,380,40/40,180,180,170,170,170,160,160,160,160,150,150,150,,,LDPE(HMI)
4225,VA4869E,9-Oct-23,EVERGOOD,,105.05,57.83,6002AJ-6004AJ,STD,8,10,300,40/40,180,170,170,170,170,160,160,160,160,160,180,180,,,LDPE(HMI)
4226,BA13023E,10-Oct-23,GENSTAR,,9.01,45.05,6018AJ,STD,3,8.3,28,40/40,160,150,110,110,110,150,150,,,,,,,,LDPE(HMI)
4227,BA4756E,10-Oct-23,Evergood,,256.25,54.49,6005AJ-6010AJ,STD,3,9,40,40/40,150,150,100,100,130,150,150,,,,,,,,LDPE HMI
4228,BA4140E,7-Oct-23,EVERBRIGHT,,590.39,69.46,5755AJ-5778AJ,STD,3,10,38,60/60,160,150,140,140,140,150,150,,,,,,,,VACUUM ON/LDPE(HMI)
4229,YA14414E,7-Oct-23,BEVPACK(re-ext),,22.1,66.3,6064AJ,STD,8,9,350,40/40,180,200,180,180,180,180,180,180,180,180,180,180,,,PP
4230,CA5402E,9-Oct-23,SMYPC,,974.15,33.4,5711AJ-5731AJ,STD,3,3.7,11,40,130,130,110,110,110,115,115,,,,,,,,LDPE(HMI)
4231,WA14068E,9-Oct-23,Zeller,,525,53.85,6019AJ-6023AJ,STD,5,50,400,40/40,180,180,180,180,180,180,180,180,180,170,170,,,,HDPE(HMI)
4232,GA1225E,9-Oct-23,SMYPC,,1424.24,84.61,5960AJ-5989AJ,STD,8,12,220,40/40,170,170,170,170,160,160,160,160,160,160,150,150,,,LDPE(HMI)
4233,WA3827E,10-Oct-23,IN-HOUSE,,1710.41,55.03,6024AJ-6039AJ; 6068AJ-6069AJ,STD,5,60,320,40/40,200,200,200,180,180,180,180,180,180,200,200,,,,VACUUM ON/HDPE(HMI)
4234,BA15002E,10-Oct-23,MCBRIDE,,12.71,19.07,5958AJ,STD,3,9.5,14,40/40,230,230,220,220,220,230,230,,,,,,,,90-100 ppg (PET)
4235,OA8984E,10-Oct-23,Evergood,,250,70.02,6013AJ-6017AJ,STD,8,8,250,40/40,170,170,170,170,160,160,160,160,160,160,150,150,,,LDPE(HMI)
4236,BA12068E,10-Oct-23,EVEREST,,3.41,20.46,6126AJ,STD,3,6,43,40/40,150,150,150,140,140,140,140,,,,,,,,LDPE(HMI)
4237,GA12411E,10-Oct-23,GENSTAR(corr),,291.21,55.29,6114AJ-6125AJ,STD,8,15,380,40/40,200,200,180,180,180,180,180,180,180,180,180,180,,,PP
4238,KA5796E,11-Oct-23,Incon(corr),,73.6,48,6127AJ-6129AJ,STD,3,8,30,40/40,180,200,180,180,180,180,180,,,,,,,,PP
4239,RA7886E,11-Oct-23,EASTERN,,52.05,52.05,6246AJ-6247AJ,STD,3,5.3,20,40/40,150,150,130,130,140,150,150,,,,,,,,LDPE HMI
4240,BA16168E,11-Oct-23,PREMIER,,104.44,54.49,6130AJ-6131AJ,STD,3,6,20,40/40,150,150,130,130,130,150,150,,,,,,,,LDPE HMI
4241,GA1225E,11-Oct-23,SMYPC,,5622.68,87.06,6132AJ-6245AJ,STD,8,6,350,40/40,200,200,180,180,160,160,160,160,160,160,180,180,,,LDPE(HMI)
4242,BA9094E,11-Oct-23,ZELLER,,78.66,49.68,6040AJ-6042AJ,STD,3,8,25,40/40,180,200,180,180,180,180,180,,,,,,,,PP
4243,YA5124E,12-Oct-23,EVERGOOD,,502.85,45.71,6285AJ-6290AJ; 6327AJ-6331AJ,STD,3,8.3,28,40/40,150,90,90,140,140,150,150,,,,,,,,LDPE(HMI)
4244,WA14068E,12-Oct-23,Zeller,,525,59.43,6272AJ-6276AJ,STD,5,6,330,40/40,180,180,180,180,180,180,180,180,180,170,170,,,,HDPE(HMI)
4245,YA16468E,12-Oct-23,GENSTAR,,101.89,61.13,6306AJ-6307AJ,STD,3,30,40,40/40,150,150,140,140,130,150,150,,,,,,,,LDPE HMI
4246,YA16164E,12-Oct-23,EVEREST,,34.2,41.04,6248AJ,STD,3,11,28,40/40,150,140,130,130,130,140,140,,,,,,,,LDPE HMI
4247,MA7758E,11-Oct-23,CYBERMANN,,506.23,45,6043AJ-6063AJ,STD,3,6.8,40,40/40,180,200,180,180,180,180,180,,,,,,,,PP
4248,RA12372E,13-Oct-23,SPI,,501.85,61.2,5882AJ-5892AJ,STD,3,8.3,27,60/60,150,150,150,150,130,150,150,,,,,,,,LDPE(HMI)
4249,GA16415E,13-Oct-23,METRO CONT.,,24.68,49.36,6293AJ,STD,8,25,400,40/40,170,170,170,170,160,160,160,160,160,150,150,150,,,LDPE HMI
4250,BA7883E,14-Oct-23,EASTERN,,510,70.34,6316AJ-6326AJ,STD,8,80,350,60/60,200,200,180,180,180,180,180,180,180,180,200,200,,,VACUUM ON / HDPE HMI
4251,VA4869E,14-Oct-23,EVERGOOD,,250.45,71.56,6277AJ-6281AJ,STD,8,25,300,40/40,180,170,170,170,170,160,160,160,160,160,180,180,,,LDPE(HMI)
4252,GA4952E,14-Oct-23,EVEREST,,158.34,78.12,6282AJ-6284AJ,STD,8,10,380,40/40,170,170,170,170,160,160,160,160,160,160,150,150,,,LDPE HMI
4253,GA16014E,14-Oct-23,CANLINE,,507.45,64.78,6250AJ-6260AJ,STD,8,10,380,40/40,180,180,170,170,170,160,160,160,160,160,180,180,,,LDPE(HMI)
4254,GA8074E,13-Oct-23,GLOBAL KONTEINER,,53.34,80.01,6271AJ,STD,8,12,400,40/40,170,170,170,170,160,160,160,160,160,150,150,150,,,LDPE HMI
