id, Code ,Date, Customer , Qty Input (Kg) , Qty Output (Kg) , Output/Hr , Lot #'s ,Screw Config., MC # , Feed Rate , RPM ,Screen,Z13,Z12, Z11 , Z10 , Z9 , Z8 , Z7 , Z6 , Z5 , Z4 , Z3 , Z2 , Z1 , Resin used , REMARKS 
1140,MA11346E,26-Oct-21,GILVAN(corr),, 77.06 , 51.95 ,8799AG-8801AG,STD,3,8,34,40/40,,,,,,,130,110,100,100,100,100,120,,
1141,OA11689E,26-Oct-21,EVEREST,, 125.00 , 50.00 ,8666AG-8670AG,STD,3,15,25,40/40,,,,,,,180,180,180,180,180,200,180,,
1142,OA11689E,26-Oct-21,EVEREST,, 22.17 , 40.31 ,8671AG,STD,3,15,25,40/40,,,,,,,180,180,180,180,180,200,180,,
1143,WA13395E,27-Oct-21,BIG APPLE,," 1,500.00 ", 104.53 ,8764AG-8778AG,STD,8,11-12 (inverter),160-180,60/60,,,140,140,150,150,160,160,160,170,170,170,170,,
1144,VA14336E,27-Oct-21,AG CANPRINT,, 8.78 , 35.12 ,8795AG,STD,3,30,40,40/40,,,,,,,180,180,180,180,180,200,180,,
1145,OA14302E,27-Oct-21,INCON,, 52.15 , 48.00 ,8883AG,STD,3,30,40,40/40,,,,,,,130,130,150,150,150,150,150,,
1146,KA14303E,27-Oct-21,PHIL-TOP,, 53.56 , 53.56 ,8672AG,STD,3,30,40,40/40,,,,,,,130,130,150,150,150,150,150,,
1147,WA13395E,27-Oct-21,BIG APPLE,, 979.33 , 110.24 ,8779AG-8788AG,STD,5,20,380,60/60,,,150,150,160,160,160,170,170,170,170,170,170,,
1148,BA4038E,28-Oct-21,EVEREST,, 65.00 , 60.94 ,8884AG-8885AG,STD,3,30,40,40/40,,,,,,,130,130,150,150,150,150,150,,
1149,BA14304E,27-Oct-21,PHIL-TOP,, 127.28 , 63.64 ,8812AG-8814AG,STD,3,30,40,40/40,,,,,,,130,130,150,150,150,150,150,,
1150,GA14271E,28-Oct-21,PHIL-TOP,, 128.14 , 51.26 ,8880AG-8882AG,STD,3,30,40,40/40,,,,,,,130,130,150,150,150,150,150,,
1151,WA12841E,28-Oct-21,PHIL-TOP,, 252.36 , 92.33 ,8877AG-8879AG,STD,8,11.9(inverter),280,60/60,,,150,150,160,160,160,160,170,170,170,170,170,,
1152,YA4249E,28-Oct-21,MOLDEX,," 2,832.31 ", 78.03 ,8815AG-8871AG,STD,5,220,400,40/40,,,160,160,160,160,170,170,170,170,180,200,200,,
1153,WA13000E,28-Oct-21,PREMIER,," 1,014.69 ", 108.33 ,8802AG-8811AG,STD,8,11(inverter),220,40/40,,,160,160,160,160,170,170,170,180,180,180,180,,
1154,BA5516E,28-Oct-21,SMYPC-MPP,," 3,997.80 ", 97.19 ,8886AG-8965AG,STD,3,5.5,15,40,,,,,,,110,110,120,120,120,130,130,,VACUUM ON
1155,WA8512E,28-Oct-21,AMAZON,, 37.41 , 72.41 ,8681AG,STD,8,22,220,40,,,150,150,150,150,160,160,160,160,160,160,160,,
1156,WA2123E,28-Oct-21, KPC,," 5,012.00 ", 131.32 ,8613AG-8638AG,STD,8,70,400,60/60,180,180,180,180,180,180,180,180,180,180,180,200,180,,
1157,OA11689E,29-Oct-21,EVEREST(corr),, 148.50 , 41.44 ,8987AG-8989AG,STD,5,30,300,40/40,,,180,180,180,180,180,170,170,170,170,170,100,,
1158,RA7886E,30-Oct-21,EASTERN,, 394.10 , 85.99 ,8999AG-9006AG,STD,5,110,400,40/40,,,150,150,160,160,160,170,170,170,170,170,170,,
1159,KA9045E,30-Oct-21,EVEREST,," 1,001.83 ", 88.40 ,8966AG-8986AG,STD,5,200,380,40/40,, ,150,150,160,160,160,170,170,170,170,170,170,,
1160,GA6050E,30-Oct-21,POLYTECHINQUE,, 54.21 , 56.08 ,8990AG-8991AG,STD,5,150,300,40/40,,,180,180,180,180,180,180,180,180,180,200,180,,
1161,BA2091E,2-Nov-21,GREENPACK,," 1,240.61 ", 99.51 ,9008AG-9033AG,STD,5,250,400,60/60,,,150,150,160,160,160,170,170,170,170,170,170,,Pelletizer RPM 320
1162,GA14271E,31-Oct-21,PHIL-TOP(corr),, 127.21 , 58.71 ,9034AG-9036AG,STD,5,20,380,40/40,,,150,150,160,160,160,170,170,170,170,170,170,,
1163,BA7896E,3-Nov-21,SENTINEL,, 178.10 , 112.48 ,8993AG-8996AG,STD,5,200,380,40/40,,,150,150,160,160,160,170,170,170,170,170,170,,
1164,BA5516E,2-Nov-21,SMYPC-MPP,," 1,019.80 ", 44.85 ,9043AG-9063AG,STD,5,75,150,40,,,110,110,100,100,100,100,100,100,100,105,105,,
1165,WA2123E,2-Nov-21, KPC,," 4,300.00 ", 127.28 ,9064AG-9092AG,STD,8,70,400,60/60,180,180,180,180,180,180,180,180,180,180,180,200,180,,
1166,DA10063E,4-Nov-21,EVERGOOD,, 246.21 , 59.78 ,9110AG-9114AG,STD,3,30,40,40/40,,,,,,,130,130,150,150,150,150,150,,
1167,YA14414E,3-Nov-21,BEVPACK,, 146.62 , 41.89 ,9094AG-9096AG,STD,3,30,40,40/40,,,,,,,180,180,180,180,180,200,180,,
1168,VA4086E,4-Nov-21,IN-HOUSE,, 493.22 , 68.50 ,9116AG-9125AG,STD,5,100,380,40/40,,,140,140,150,150,150,160,160,160,160,160,160,,VACUUM ON
1169,WA2123E,5-Nov-21, KPC,," 1,559.02 ", 158.54 ,9097AG-9108AG,STD,8,70,400,60/60,180,180,180,180,180,180,180,180,180,180,180,200,180,,
1170,OA3552E,4-Nov-21,ZELLER,, 52.02 , 48.02 ,9133AG,STD,3,30,40,40/40,,,,,,,,180,180,180,180,200,180,,
1171,DA9936E,4-Nov-21,TRADESPHERE,, 26.69 , 44.48 ,9129AG,STD,3,30,40,40/40,,,,,,,130,130,150,150,150,150,150,,
1172,YA4584E,4-Nov-21,ZENAM,, 122.86 , 72.27 ,9126AG-9128AG,STD,3,26,45,60/60,,,,,,,110,110,120,120,130,130,130,,VACUUM ON
1173,WA3827E,6-Nov-21,EASTERN,, 811.78 , 92.25 ,9038AG-9042AG; 9134AG-9137AG,STD,7,30,180,40/40,,,,140,140,160,180,180,180,190,190,210,210,,VACUUM ON
1174,BA7896E,6-Nov-21,SENTINEL,, 175.00 , 75.00 ,9138AG-9141AG,STD,5,200,380,40/40,,,150,150,160,160,160,170,170,170,170,170,170,,
1175,MA13810E,5-Nov-21,INCON,, 25.00 , 75.00 ,9143AG,STD,5,15,300,40/40,,,180,180,180,180,180,180,180,180,180,200,180,,
1176,MA13810E,5-Nov-21,INCON(corr),, 96.81 , 52.81 ,9144AG-9147AG,STD,5,15,300,40/40,,,180,180,180,180,180,180,180,180,180,200,180,,
1177,YA5124E,8-Nov-21,EVERGOOD,, 496.28 , 63.63 ,9154AG-9163AG,STD,3,60,50,40/40,,,,,,,130,130,150,150,150,175,175,,
1178,GA2595E,8-Nov-21,H&E,, 54.51 , 20.44 ,9151AG-9153AG, STD ,5,200,250,40/40,,,220,220,220,220,220,220,220,220,220,220,200,,VACUUM ON/COIL SCREW
1179,BA7688E,8-Nov-21,EVEREST,," 1,999.04 ", 77.62 ,9164AG-9204AG,STD,5,120,400,40/40,,,150,150,160,160,160,170,170,170,170,170,170,,VACUUM ON
1180,DA10063E,9-Nov-21,EVERGOOD(corr),, 262.78 , 75.80 ,9241AG-9245AG,STD,3,30,40,40/40,,,,,,,130,130,150,150,150,150,150,,
1181,YA5188E,9-Nov-21,Evergood,, 249.88 , 52.61 ,9228AG-9232AG,STD,3,8.3,40,40/40,,,,,,,130,130,130,130,130,130,140,,VACUUM ON
1182,YA5917E,8-Nov-21,EVERGOOD,, 361.40 , 51.14 ,9233AG-9240AG,STD,3,30,40,40/40,,,,,,,130,130,150,150,150,150,150,,
1183,KA3541E,10-Nov-21,ZELLER,, 54.54 , 51.94 ,9253AG-9254AG,STD,3,30,40,40/40,,,,,,,180,180,180,180,180,200,180,,
1184,OA3552E,10-Nov-21,ZELLER(corr),, 68.12 , 45.41 ,9246AG-9247AG,STD,3,30,40,40/40,,,,,,,,180,180,180,180,200,180,,
1185,GA13854E,10-Nov-21,RE-IMAGINE,, 52.83 , 45.28 ,9255AG,STD,5,20,380,40/40,,,150,150,160,160,160,170,170,170,170,170,170,,
1186,BA3435E,10-Nov-21,ZELLER,, 51.77 , 49.30 ,9248AG,STD,5,150,300,40/40,,,180,180,180,180,180,180,180,180,180,200,180,,
1187,BA3018E,10-Nov-21,Evergood,, 153.77 , 82.38 ,9249AG-9252AG,STD,5,150,300,40/40,,,150,150,160,160,160,170,170,170,170,170,170,,
1188,RA4665E,10-Nov-21,EVEREST,, 740.23 , 64.37 ,9205AG-9219AG,STD,3,12,45,40/40,,,,,,,130,130,150,150,150,150,150,,
1189,KA4309E,4-Nov-21,ZENAM,, 125.00 , 51.72 ,9130AG-9132AG,STD,5,140,350,60/60,,,140,140,140,140,150,150,150,160,160,160,160,,
1190,YA14414E,6-Nov-21,BEVPACK,, -   , -   ,9142AG,STD,6,8,350,-,,,,,,,180,180,160,160,170,170,180,,no output
1191,YA14414E,6-Nov-21,BEVPACK,, 0.17 , 0.64 ,9148AG,STD,6,8,350,-,,,,,,,180,180,160,160,170,170,180,,
1192,VA14336E,11-Nov-21,AG CANPRINT,, 128.37 , 49.06 ,9258AG-9260AG,STD,5,15,300,40/40,,,180,180,180,180,180,180,180,180,180,200,180,,
1193,OA8176E,11-Nov-21,SMYPC-MPP,, 54.11 , 43.29 ,9262AG,STD,3,8,26,40/40,,,,,,,130,130,150,150,150,150,150,,
1194,OA3552E,12-Nov-21,ZELLER,, 55.37 , 40.03 ,9263AG; 9264AG,STD,3,30,40,40/40,,,,,,,,180,180,180,180,200,180,,
1195,DA10063E,11-Nov-21,EVERGOOD,, 287.17 , 87.91 ,9265AG-9270AG,STD,5,200,380,40/40,,,150,150,160,160,160,160,170,170,170,170,170,,
1196,KA5796E,12-Nov-21,INCON,, 51.55 , 34.37 ,9271AG,STD,5,80,220,40/40,,,180,180,180,180,180,180,180,180,180,200,180,,
1197,GA7505E,11-Nov-21,TRADESPHERE,, 55.69 , 52.21 ,9272AG-9273AG,STD,3,25,26,60/60,,,,,,,130,130,150,150,150,150,150,,VACUUM ON
1198,MA4737E,12-Nov-21,EVEREST,, 48.67 , 20.86 ,9275AG-9276AG,STD,3,4.3,42,40/40,,,,,,,140,140,140,150,150,150,150,,VACUUM ON
1199,YA7822E,13-Nov-21,EASTERN,, 304.90 , 62.44 ,9279AG-9285AG,STD,5,150,400,40/40,,,150,150,160,160,160,170,170,170,170,170,170,,
1200,BA4365E,13-Nov-21,INCON,, 49.06 , 41.46 ,9286AG,STD,5,150,300,40/40,,,180,180,200,200,200,200,210,210,220,220,220,,
1201,MA4737E,13-Nov-21,EVEREST,, 489.02 , 22.98 ,9287AG-9306AG,STD,3,4.3,42,40/40,,,,,,,140,140,140,150,150,150,150,,VACUUM ON
1202,TA13713E,13-Nov-21,INCON,, 54.60 , 65.52 ,9277AG,STD,5,150,300,40/40,,,180,180,200,200,200,200,210,210,220,220,220,,
1203,MA4737E,15-Nov-21,EVEREST(corr),, 611.48 , 26.55 ,9314AG-9373AG,STD,3,4.3,42,40/40,,,,,,,140,140,140,150,150,150,150,,VACUUM ON
1204,BA7896E,15-Nov-21,SENTINEL,, 149.50 , 66.44 ,9368AG-9370AG,STD,5,200,380,40/40,,,150,150,160,160,160,170,170,170,170,170,170,,
1205,VA14336E,13-Nov-21,AG CANPRINT,, 148.97 , 59.59 ,9308AG-9310AG,STD,5,15,300,40/40,,,180,180,180,180,180,180,180,180,180,200,180,,
1206,WA11678E,15-Nov-21,INCON,, 98.65 , 84.56 ,9312AG; 9313AG,STD,8,35,200,40/40,,,,150,150,160,160,160,160,170,170,170,170,,
1207,DA13643E,15-Nov-21,Anilson Pkg.,," 2,997.26 ", 115.65 ,9338AG-9367AG,STD,5,20,380,60/60,,,150,150,160,160,160,170,170,170,170,170,170,,
1208,BA3435E,17-Nov-21,ZELLER (Corr.),, 50.00 , 45.45 ,9278AG,STD,3,30,40,40/40,,,,,,,180,180,180,180,180,200,180,,
1209,KA5796E,17-Nov-21,Incon(tmblr/re-ext),, 53.95 , 49.80 ,9307AG,STD,3,18,40,40/40,,,,,,,180,180,180,180,180,200,180,,
1210,KA5796E,17-Nov-21,Incon(corr),, 51.11 , 46.46 ,9374AG,STD,3,18,40,40/40,,,,,,,180,180,180,180,180,200,180,,
